sample,os,device,tps,mb_s,kb_read_s,kb_wrtn_s
0,mac,disk0,313.0,5.49,,
0,mac,disk4,0.0,0.0,,
1,mac,disk0,120.0,3.21,,
1,mac,disk4,0.0,0.0,,
2,mac,disk0,707.0,6.38,,
2,mac,disk4,0.0,0.0,,
3,mac,disk0,114.0,1.5,,
3,mac,disk4,0.0,0.0,,
4,mac,disk0,59.0,0.68,,
4,mac,disk4,0.0,0.0,,
5,mac,disk0,519.0,7.51,,
5,mac,disk4,0.0,0.0,,
6,mac,disk0,221.0,4.37,,
6,mac,disk4,0.0,0.0,,
7,mac,disk0,86.0,2.36,,
7,mac,disk4,0.0,0.0,,
8,mac,disk0,385.0,6.99,,
8,mac,disk4,0.0,0.0,,
9,mac,disk0,310.0,4.67,,
9,mac,disk4,0.0,0.0,,
