ts_s,src,name,value,device,extra
1760252220.625614,app,checkpoint_saved,3,,"trace/ckpts_traced/run_0/ckpt_epoch_0003.npz"
1760252221.625614,iostat,tps,382.0,,"iostat_line"
1760252221.634135,app,checkpoint_saved,6,,"trace/ckpts_traced/run_0/ckpt_epoch_0006.npz"
1760252222.625614,iostat,tps,1408.0,,"iostat_line"
1760252222.648122,app,checkpoint_saved,9,,"trace/ckpts_traced/run_0/ckpt_epoch_0009.npz"
1760252223.625614,iostat,tps,127.0,,"iostat_line"
1760252223.657766,app,checkpoint_saved,12,,"trace/ckpts_traced/run_0/ckpt_epoch_0012.npz"
1760252224.625614,iostat,tps,364.0,,"iostat_line"
1760252224.665461,app,checkpoint_saved,15,,"trace/ckpts_traced/run_0/ckpt_epoch_0015.npz"
1760252225.625614,iostat,tps,209.0,,"iostat_line"
1760252225.672104,app,checkpoint_saved,18,,"trace/ckpts_traced/run_0/ckpt_epoch_0018.npz"
1760252226.625614,iostat,tps,1026.0,,"iostat_line"
1760252226.681440,app,checkpoint_saved,21,,"trace/ckpts_traced/run_0/ckpt_epoch_0021.npz"
1760252227.625614,iostat,tps,2642.0,,"iostat_line"
1760252227.689702,app,checkpoint_saved,24,,"trace/ckpts_traced/run_0/ckpt_epoch_0024.npz"
1760252228.625614,iostat,tps,1687.0,,"iostat_line"
1760252228.703842,app,checkpoint_saved,27,,"trace/ckpts_traced/run_0/ckpt_epoch_0027.npz"
1760252229.625614,iostat,tps,1111.0,,"iostat_line"
1760252229.716007,app,checkpoint_saved,30,,"trace/ckpts_traced/run_0/ckpt_epoch_0030.npz"
1760252230.625614,iostat,tps,2079.0,,"iostat_line"
1760252230.723464,app,checkpoint_saved,33,,"trace/ckpts_traced/run_0/ckpt_epoch_0033.npz"
1760252231.625614,iostat,tps,1948.0,,"iostat_line"
1760252231.734099,app,checkpoint_saved,36,,"trace/ckpts_traced/run_0/ckpt_epoch_0036.npz"
1760252232.625614,iostat,tps,1838.0,,"iostat_line"
1760252232.743695,app,checkpoint_saved,39,,"trace/ckpts_traced/run_0/ckpt_epoch_0039.npz"
1760252233.625614,iostat,tps,1380.0,,"iostat_line"
1760252233.754079,app,checkpoint_saved,42,,"trace/ckpts_traced/run_0/ckpt_epoch_0042.npz"
1760252234.625614,iostat,tps,1182.0,,"iostat_line"
1760252234.763898,app,checkpoint_saved,45,,"trace/ckpts_traced/run_0/ckpt_epoch_0045.npz"
1760252235.625614,iostat,tps,1236.0,,"iostat_line"
1760252235.767250,app,checkpoint_saved,48,,"trace/ckpts_traced/run_0/ckpt_epoch_0048.npz"
1760252236.625614,iostat,tps,1315.0,,"iostat_line"
1760252236.778568,app,checkpoint_saved,51,,"trace/ckpts_traced/run_0/ckpt_epoch_0051.npz"
1760252237.625614,iostat,tps,1370.0,,"iostat_line"
1760252237.790778,app,checkpoint_saved,54,,"trace/ckpts_traced/run_0/ckpt_epoch_0054.npz"
1760252238.625614,iostat,tps,1103.0,,"iostat_line"
1760252238.797749,app,checkpoint_saved,57,,"trace/ckpts_traced/run_0/ckpt_epoch_0057.npz"
1760252239.625614,iostat,tps,1151.0,,"iostat_line"
1760252239.807368,app,checkpoint_saved,60,,"trace/ckpts_traced/run_0/ckpt_epoch_0060.npz"
1760252240.625614,iostat,tps,1498.0,,"iostat_line"
1760252240.811466,app,checkpoint_saved,63,,"trace/ckpts_traced/run_0/ckpt_epoch_0063.npz"
1760252241.625614,iostat,tps,419.0,,"iostat_line"
1760252241.825536,app,checkpoint_saved,66,,"trace/ckpts_traced/run_0/ckpt_epoch_0066.npz"
1760252242.625614,iostat,tps,112.0,,"iostat_line"
1760252242.839180,app,checkpoint_saved,69,,"trace/ckpts_traced/run_0/ckpt_epoch_0069.npz"
1760252243.625614,iostat,tps,37.0,,"iostat_line"
1760252243.851761,app,checkpoint_saved,72,,"trace/ckpts_traced/run_0/ckpt_epoch_0072.npz"
1760252244.625614,iostat,tps,90.0,,"iostat_line"
1760252244.865508,app,checkpoint_saved,75,,"trace/ckpts_traced/run_0/ckpt_epoch_0075.npz"
1760252245.625614,iostat,tps,241.0,,"iostat_line"
1760252245.874030,app,checkpoint_saved,78,,"trace/ckpts_traced/run_0/ckpt_epoch_0078.npz"
1760252246.625614,iostat,tps,230.0,,"iostat_line"
1760252246.888649,app,checkpoint_saved,81,,"trace/ckpts_traced/run_0/ckpt_epoch_0081.npz"
1760252247.625614,iostat,tps,151.0,,"iostat_line"
1760252247.901578,app,checkpoint_saved,84,,"trace/ckpts_traced/run_0/ckpt_epoch_0084.npz"
1760252248.625614,iostat,tps,15.0,,"iostat_line"
1760252248.914728,app,checkpoint_saved,87,,"trace/ckpts_traced/run_0/ckpt_epoch_0087.npz"
1760252249.625614,iostat,tps,59.0,,"iostat_line"
1760252249.925331,app,checkpoint_saved,90,,"trace/ckpts_traced/run_0/ckpt_epoch_0090.npz"
1760252250.625614,iostat,tps,121.0,,"iostat_line"
1760252250.932962,app,checkpoint_saved,93,,"trace/ckpts_traced/run_0/ckpt_epoch_0093.npz"
1760252251.625614,iostat,tps,71.0,,"iostat_line"
1760252251.947034,app,checkpoint_saved,96,,"trace/ckpts_traced/run_0/ckpt_epoch_0096.npz"
1760252252.625614,iostat,tps,592.0,,"iostat_line"
1760252252.960934,app,checkpoint_saved,99,,"trace/ckpts_traced/run_0/ckpt_epoch_0099.npz"
1760252253.625614,iostat,tps,27.0,,"iostat_line"
1760252253.973448,app,checkpoint_saved,102,,"trace/ckpts_traced/run_0/ckpt_epoch_0102.npz"
1760252254.625614,iostat,tps,9.0,,"iostat_line"
1760252254.986587,app,checkpoint_saved,105,,"trace/ckpts_traced/run_0/ckpt_epoch_0105.npz"
1760252255.625614,iostat,tps,20.0,,"iostat_line"
1760252255.993895,app,checkpoint_saved,108,,"trace/ckpts_traced/run_0/ckpt_epoch_0108.npz"
1760252256.625614,iostat,tps,20.0,,"iostat_line"
1760252257.005593,app,checkpoint_saved,111,,"trace/ckpts_traced/run_0/ckpt_epoch_0111.npz"
1760252257.625614,iostat,tps,337.0,,"iostat_line"
1760252258.018206,app,checkpoint_saved,114,,"trace/ckpts_traced/run_0/ckpt_epoch_0114.npz"
1760252258.625614,iostat,tps,37.0,,"iostat_line"
1760252259.029433,app,checkpoint_saved,117,,"trace/ckpts_traced/run_0/ckpt_epoch_0117.npz"
1760252259.625614,iostat,tps,218.0,,"iostat_line"
1760252260.042018,app,checkpoint_saved,120,,"trace/ckpts_traced/run_0/ckpt_epoch_0120.npz"
1760252260.625614,iostat,tps,1005.0,,"iostat_line"
1760252261.043126,app,done,,,""
1760252261.625614,iostat,tps,1155.0,,"iostat_line"
